label,message
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 13 AM."
spam,Congratulations! You have won $1290 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 11 AM."
spam,Congratulations! You have won $351 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 15 AM."
spam,Congratulations! You have won $1217 cash. Click here to claim your prize now!
spam,Congratulations! You have won $1511 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 10 AM."
spam,Congratulations! You have won $508 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 17 AM."
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 16 AM."
spam,Congratulations! You have won $152 cash. Click here to claim your prize now!
spam,Congratulations! You have won $744 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 11 AM."
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 16 AM."
spam,Congratulations! You have won $1000 cash. Click here to claim your prize now!
spam,Congratulations! You have won $1173 cash. Click here to claim your prize now!
spam,Congratulations! You have won $572 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 14 AM."
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 11 AM."
spam,Congratulations! You have won $144 cash. Click here to claim your prize now!
spam,Congratulations! You have won $389 cash. Click here to claim your prize now!
spam,Congratulations! You have won $1012 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 16 AM."
spam,Congratulations! You have won $1460 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 9 AM."
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 14 AM."
spam,Congratulations! You have won $1326 cash. Click here to claim your prize now!
spam,Congratulations! You have won $396 cash. Click here to claim your prize now!
spam,Congratulations! You have won $1341 cash. Click here to claim your prize now!
spam,Congratulations! You have won $1105 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 12 AM."
spam,Congratulations! You have won $846 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 10 AM."
spam,Congratulations! You have won $391 cash. Click here to claim your prize now!
spam,Congratulations! You have won $881 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 14 AM."
spam,Congratulations! You have won $422 cash. Click here to claim your prize now!
spam,Congratulations! You have won $398 cash. Click here to claim your prize now!
spam,Congratulations! You have won $1398 cash. Click here to claim your prize now!
spam,Congratulations! You have won $294 cash. Click here to claim your prize now!
spam,Congratulations! You have won $163 cash. Click here to claim your prize now!
spam,Congratulations! You have won $493 cash. Click here to claim your prize now!
spam,Congratulations! You have won $827 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 11 AM."
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 11 AM."
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 16 AM."
spam,Congratulations! You have won $114 cash. Click here to claim your prize now!
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 14 AM."
ham,"Hi, just wanted to check if you're available for a meeting tomorrow at 10 AM."
spam,Congratulations! You have won $1190 cash. Click here to claim your prize now!
